24949,FeudalKnight,0,1,814,2033
69313,DarkF%40rce,278,1,847,2017
70886,coni,185,2,6640,840
87485,DrDeath,888,2,1705,1635
89157,GreyDragoon,350,31,123198,125
89185,Rincewinds,263,1,1625,1666
95142,vikings55,879,12,76864,210
122003,peewee,386,6,16613,520
138692,Rojam117,29,5,11834,626
151892,demon+5577,0,1,2499,1401
198577,orsamannen,26,1,1692,1640
208525,ABAGAR,747,4,4374,1056
229111,Kawamura,0,1,308,2431
231394,KoE-CaShMaN,0,1,962,1942
232867,Muffassa,2,1,1929,1576
237612,Lord+Jeev,0,1,162,2608
241332,Peterale,318,1,1813,1602
250592,arjay52,263,2,3495,1179
267865,Sir+King+Arthur,25,1,163,2605
273875,cidella01,17,19,95167,166
306834,smithythefitter,53,10,75857,212
322742,sami+protiv+svih,130,1,817,2031
330019,kirby-graf,775,3,5293,953
350372,dandan347,38,0,0,3016
365110,Nightmare1967,10,3,4301,1063
370411,AcidBurn,15,1,641,2139
378504,rrtt99,622,1,894,1981
405972,Doomed356,891,1,2050,1536
410642,CABOKING,377,4,5185,962
421454,Radu-Marius,0,1,2632,1376
445112,Daredevil+MephistO,0,1,308,2432
448825,MaJeSTee,237,1,813,2034
458418,rand4747,310,1,3903,1117
476462,WeAreAnonymous,404,10,58390,260
476788,lilryan19,242,27,146064,94
498234,Richardk,445,1,552,2205
505287,captain+black,734,1,2146,1517
508964,eedi,0,6,18446,495
509263,Bluecool,0,0,0,3017
560786,Krissy,10,1,296,2442
561464,Slacker,23,1,1042,1904
561810,Graf+Gonzo,560,12,48665,297
568199,joehor,888,1,3039,1273
568827,nielon,617,1,3135,1256
578878,dirtydogman,389,5,13351,579
609123,lord+t-gg-a,846,2,9372,702
615592,DrEvil1,58,0,0,3018
617633,Raptor+Of+Hades,846,3,5027,978
636272,s%280%29niK,879,18,82147,191
734242,Noobie1,370,10,38947,348
743599,mariny,0,1,36,2838
794257,gazw,381,13,73523,218
794996,chelsea+shed,17,10,46960,301
802302,ksbr,0,0,0,3019
803518,fatman26,328,1,1012,1918
818554,Dord,0,1,441,2285
824913,zytech,0,1,1488,1710
836739,dethrokk,0,1,5878,892
865637,The+Gas,269,1,812,2035
885487,Dads+Army,617,2,4827,1003
889400,Back+Line+Trash,0,1,36,2839
921182,Oldtimer,26,2,5970,882
981725,hunto,0,1,506,2234
987964,Predsjednik,25,1,2707,1359
1019339,suhrim,53,17,78411,202
1028510,yorgolb,53,22,127167,117
1040322,gilad8,0,5,20490,462
1047404,cocodelish,58,3,8599,735
1049489,TClark,0,3,11950,622
1070506,Golgotha,0,1,58,2794
1084192,krazykat69,643,1,237,2514
1118017,sandcroch,0,1,1187,1848
1140108,kennyboy68,0,1,101,2726
1147355,medooo,0,1,934,1959
1160381,DaPinkMaster,328,1,1066,1891
1179819,Eccy01,373,26,114782,138
1191124,boomerknight,880,1,677,2116
1214642,Lord+of+the+pies,89,18,101340,157
1218186,travelerdwyer170,963,4,17644,506
1266205,biff+bonzai,617,1,3296,1215
1340513,I-AM-GROOT,237,1,4021,1095
1359579,getitfred,775,1,2087,1527
1374202,pogo777,281,1,3958,1108
1388540,King+Koopa,97,0,0,3020
1416395,the+great+storm,0,1,546,2209
1427030,Ming+Emperor,0,0,0,3021
1502423,Benny930,206,2,5830,896
1504759,crystalball,304,0,0,3022
1523499,13th+Krieger,389,1,57,2805
1525355,mastolol,12,1,3368,1200
1647171,Evil-Git,41,7,34435,366
1647829,clisch,0,1,262,2477
1687559,kirkthewineman,17,19,83714,189
1696013,Mr.Obvious,0,1,369,2364
1704209,World+Winner,0,3,8368,743
1707285,wolf22,38,1,1013,1917
1728551,heroic+legend,0,2,951,1948
1743971,janemotanu,66,1,3133,1257
1804063,queslett,461,0,0,3023
1821987,Willo12345,591,1,1422,1736
1822842,ianharding,0,1,36,2840
1823858,quaestor,963,3,12115,617
1895765,mjayk24,545,21,70662,224
1902556,pluta,727,1,750,2073
1905964,jack307,0,1,6292,865
2017933,slough316,281,1,1991,1557
2020285,Jdog.,230,6,25802,420
2024771,jimbo634,26,1,1768,1615
2034188,Chili+Mac,545,17,66698,234
2093130,Solidussdad,0,0,0,3024
2101409,Narnia624,0,1,271,2468
2124068,forzafcb1990,166,3,8027,773
2126790,gus10,0,0,0,3025
2188026,morgie666,0,6,13688,571
2202754,smakaho,0,1,98,2731
2235393,Tito10,80,1,865,2007
2307938,Mixamatosis,0,6,19504,475
2309323,Snow+Wolf,0,1,57,2806
2327672,Hells+Toy+Master,0,1,1146,1854
2330233,ic3princ3,0,1,423,2300
2365031,zanozano,731,6,13200,582
2379810,stuten,0,1,3198,1238
2444873,amsiiii,599,5,14094,563
2471016,dukefan7777777,98,20,60546,250
2472169,Duellona,462,1,3957,1109
2486044,Scarfac3DaGreat,0,1,309,2428
2489357,Asroc,0,1,589,2174
2492628,PyroKing51,0,1,203,2558
2514862,derek1608,690,1,2902,1314
2529286,sage69,0,0,0,3026
2624751,billadi66,0,1,874,1998
2632667,docileone,954,1,477,2261
2641078,kjpker,53,16,77596,206
2660422,gigiplete,350,36,277221,25
2676083,viper38,95,2,6247,870
2690692,Zgobituary,127,1,130,2650
2704876,anvilsmith,166,1,3277,1219
2735260,returnofthelord,0,2,4086,1091
2747774,thebarkingdog,66,5,8301,748
2764142,Sgt%40Arms,146,0,0,3027
2774316,rohan321,0,1,304,2435
2859033,referee6,97,1,933,1960
2893239,yniets22,350,40,177697,57
2900891,kinggong,768,0,0,3028
2915775,shaggey69,10,1,6131,875
2941010,ASHOKA1,893,10,33644,372
2948330,yamagoya,0,1,1323,1777
2977707,Cold+Summers,0,1,2351,1456
3016894,hellsjester,206,1,3567,1165
3027108,Black.Heart,55,1,3216,1233
3035194,knightmoves,0,1,582,2178
3048355,nobz22,711,4,13209,581
3090165,jlarry,0,1,1235,1832
3122010,little+jac,545,14,66376,236
3145312,MsFix,0,1,3385,1198
3148926,astronigel,0,1,976,1937
3161762,harry.t.wells,0,1,2610,1380
3183912,mikec911,0,1,3013,1283
3205922,Killer+Instinct.,98,12,30287,391
3245174,Henrycoffin,26,2,4619,1021
3293146,Deathdeala,370,11,70018,226
3296113,webbldr,230,4,8427,740
3305093,sriram+s,0,1,95,2741
3323530,KILLER1014,65,16,78751,199
3327682,Old+Bloke,714,3,7340,806
3361700,anningg,0,1,1530,1695
3374204,YeOlde+Raven,419,1,2922,1310
3376911,optimizer2,53,6,25557,423
3405514,YOU+MAD+BRO%3F%3F%3F,413,24,91183,171
3410710,bigsteveslk,0,1,385,2340
3420041,Jackparadise,34,1,1627,1662
3451386,mc368,199,1,2601,1382
3456477,cafrat,61,4,12264,613
3482098,swb04073,0,0,0,3029
3490628,richscalia,919,1,735,2082
3524218,loudhomer,0,0,0,3030
3542945,Greg+Stephens,622,1,916,1969
3546131,craighutchy,142,1,3424,1189
3558804,Reven,0,1,3019,1281
3560634,mfk731,731,1,5150,967
3572923,Queen+B,0,1,1164,1858
3577074,Bossman06,26,1,2509,1409
3580873,koopa8,0,2,8362,744
3600688,Tiger+of+Summer,0,1,202,2561
3610753,valtheran88,0,1,2893,1316
3625959,rifel156,802,10,31335,382
3628448,mabey,370,12,84318,187
3653011,Churchill,560,4,18479,494
3653541,Muslehuddin,321,1,707,2098
3694843,jreggo,0,1,124,2660
3696964,charshaun,373,31,185404,52
3755211,Lord+Blackwolf,222,2,6469,851
3778961,SlowGo,540,1,1311,1786
3826500,bramley3,218,1,1255,1826
3834751,Z+Mageman2,0,0,0,3031
3836611,ITM1886,60,3,9184,709
3850849,pigeonlee,0,0,0,3032
3854052,Black+Death2,622,3,4881,995
3861322,bloatedcherub,328,1,1967,1566
